PLAYER,index,salary,wiki_views,twitter_fav,twitter_RT
Garrett Temple,140,8,100,2,1
Matthew Dellavedova,141,9.61,910.5,175,30
Luol Deng,142,18,838,22,13.5
Andre Iguodala,143,11.13,1748.5,300.5,43
Manu Ginobili,144,14,53,299,66
Danny Green,145,10,6,0,15
Thabo Sefolosha,147,3.85,280,28.5,17.5
Justin Anderson,148,1.51,4,5,10
Joe Ingles,149,2.15,178,86.5,4
Jared Dudley,150,10.47,184,31,4
Patrick Patterson,151,6.05,8,53.5,8
Bobby Portis,152,1.45,193,37,73
Bobby Portis,153,1.52,193,37,73
Brandan Wright,154,5.71,152.5,0,6
Alec Burks,155,10.15,111,10,15
Dwight Powell,156,8.38,213,0,10
Jaylen Brown,157,4.74,441,0,100
Michael Carter-Williams,158,3.18,645,0,5
Dante Cunningham,159,2.98,97.5,0,3
Kosta Koufos,160,8.05,189,37,8
Andre Roberson,161,2.18,7.5,10,8
Sam Dekker,162,1.72,331,139,13
Amir Johnson,163,12,282,31.5,6
Kyle O'Quinn,164,3.92,152,0,7
Dante Exum,165,3.94,483,48.5,28
Spencer Hawes,166,6.35,195,12,4
Trey Lyles,167,2.34,334.5,48,12
Chandler Parsons,168,22.12,555.5,59,16
Troy Williams,169,1.58,72,5,9
JaVale McGee,170,1.4,804.5,0,32
Jerian Grant,171,1.64,371,25,32.5
Andrew Harrison,172,1.31,5,0,17
Domantas Sabonis,173,2.44,550.5,0,82
Quincy Acy,174,1.79,179,4,4
Georgios Papagiannis,176,2.2,172,7,3
Delon Wright,177,1.58,202.5,11.5,14
Anthony Morrow,178,3.49,177.5,0,5
Terry Rozier,179,1.91,208,2,6
Malcolm Delaney,180,2.5,183.5,1,1
Meyers Leonard,181,9.21,276,149,31
Chasson Randle,182,1.31,82,13.5,7
Randy Foye,183,2.5,267.5,2,4
Cameron Payne,184,2.11,324.5,38.5,21
Luis Scola,185,5.5,416,16,60
Denzel Valentine,186,2.09,403,23,24
Anthony Bennett,187,1.02,19,9,10.5
Aaron Brooks,188,2.7,10,1,3
Trey Burke,189,3.39,429.5,41,14
Joakim Noah,190,17,1202.5,0,87
Mario Hezonja,191,3.91,396.5,272,207
Tiago Splitter,192,8.55,274.5,8,9
Kevin Seraphin,193,1.8,16,4.5,8
Isaiah Canaan,194,1.02,180.5,24.5,8
Boris Diaw,195,7,489.5,136.5,13
Kris Humphries,196,4,2940.5,67,9
Corey Brewer,197,7.61,314,51.5,15.5
Reggie Bullock,198,2.26,125,20,13
Stanley Johnson,199,2.97,10,0,19
Noah Vonleh,200,2.75,218,23.5,12
Tyler Ennis,201,1.73,18,11,6
Brandon Rush,202,3.5,412.5,14,1.5
Thon Maker,203,2.57,976,0,39.5
Jarell Martin,205,1.47,80.5,2,4
Malik Beasley,206,1.63,159,0,14
Kris Dunn,207,3.87,597.5,165,47
Jonas Jerebko,208,5,215.5,7,17
Tyus Jones,209,1.47,472,0,14
Adreian Payne,210,2.02,166,0,13
Rashad Vaughn,211,1.81,128,2,7
Tyler Zeller,212,8,336,15,14
Jared Sullinger,214,5.63,368.5,11,2
Henry Ellenson,215,1.7,147,6.5,5
Paul Pierce,216,3.53,1671,346.5,142
Briante Weber,217,1.47,81.5,29.5,14
Jarrett Jack,218,0.06,245.5,11.5,7
Andrew Bogut,219,0.24,1435.5,57,4
Fred VanVleet,220,1.31,116.5,0,17.5
Kyle Singler,221,4.84,354,9,6
Tomas Satoransky,223,2.87,4,7,8.5
Andrew Nicholson,224,6.09,3,5,5
DeAndre Liggins,225,1.58,150.5,2,2
Mike Scott,227,3.33,7,2,1
Greivis Vasquez,228,4.35,39,10,8.5
James Young,229,1.83,12,0,12
Udonis Haslem,231,4,401,28.5,18
Lamar Patterson,232,0.25,82,4,4
Nick Collison,234,3.75,283.5,10,12
Ryan Kelly,236,1.58,23,17,10
Jordan Mickey,237,1.47,129.5,0,3
